	identifier	source	file	clip	clip_soft	scale	sum_stat	strand_pair	description	strand
123	SRS2987630	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987630/coverage.w5	384	384	0.02	sum_sqrt	123	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 3h DRB, 30 min 500 uM s4U at 2h 40 min DRB, 10 min DRB release biochemically enriched RNA (ED170912)	.
124	SRS2987631	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987631/coverage.w5	384	384	0.02	sum_sqrt	124	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 3h DRB, 30 min 500 uM s4U at 2h 50 min DRB, 20 min DRB release biochemically enriched RNA (ED170914)	.
125	SRS2987632	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987632/coverage.w5	384	384	0.02	sum_sqrt	125	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 3h DRB, 30 min 500 uM s4U at 2h 50 min DRB, 20 min DRB release biochemically enriched RNA (ED170913)	.
126	SRS2987633	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987633/coverage.w5	384	384	0.02	sum_sqrt	126	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 30 min s4U biochemically enriched RNA (ED170915)	.
127	SRS2987634	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP133231/SRS2987634/coverage.w5	384	384	0.02	sum_sqrt	127	RNA:4sU:Primary Cortical Neuron s4u feed + chemical treatment: 30 min s4U biochemically enriched RNA (ED170916)	.
128	SRS3130988	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130988/coverage.w5	384	384	0.02	sum_sqrt	128	RNA:4sU:ESC WT 1 4sU	.
129	SRS3130989	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130989/coverage.w5	384	384	0.02	sum_sqrt	129	RNA:4sU:ESC WT 1 4sU_re-sequenced	.
130	SRS3130990	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130990/coverage.w5	384	384	0.02	sum_sqrt	130	RNA:4sU:ESC WT 2 4sU	.
131	SRS3130991	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130991/coverage.w5	384	384	0.02	sum_sqrt	131	RNA:4sU:ESC WT 2 4sU_re-sequenced	.
132	SRS3130992	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130992/coverage.w5	384	384	0.02	sum_sqrt	132	RNA:4sU:ESC WT 3 4sU	.
133	SRS3130993	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130993/coverage.w5	384	384	0.02	sum_sqrt	133	RNA:4sU:ESC WT 3 4sU_re-sequenced	.
134	SRS3130994	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130994/coverage.w5	384	384	0.02	sum_sqrt	134	RNA:4sU:ESC WT 1 total	.
135	SRS3130995	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130995/coverage.w5	384	384	0.02	sum_sqrt	135	RNA:4sU:ESC WT 2 total	.
136	SRS3130996	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137727/SRS3130996/coverage.w5	384	384	0.02	sum_sqrt	136	RNA:4sU:ESC WT 3 total	.
137	SRS3131028	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137729/SRS3131028/coverage.w5	384	384	0.02	sum_sqrt	137	RNA:4sU:ESC WT_1_4sU	.
138	SRS3131029	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137729/SRS3131029/coverage.w5	384	384	0.02	sum_sqrt	138	RNA:4sU:ESC WT_2_4sU	.
139	SRS3131030	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137729/SRS3131030/coverage.w5	384	384	0.02	sum_sqrt	139	RNA:4sU:ESC WT_3_4sU	.
140	SRS3131031	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137729/SRS3131031/coverage.w5	384	384	0.02	sum_sqrt	140	RNA:4sU:ESC WT_1_total RNA	.
141	SRS3131032	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137729/SRS3131032/coverage.w5	384	384	0.02	sum_sqrt	141	RNA:4sU:ESC WT_2_total RNA	.
142	SRS3131033	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137729/SRS3131033/coverage.w5	384	384	0.02	sum_sqrt	142	RNA:4sU:ESC WT_3_total RNA	.
143	SRS3131059	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137731/SRS3131059/coverage.w5	384	384	0.02	sum_sqrt	143	RNA:4sU:ESC 1 4sU	.
144	SRS3131060	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137731/SRS3131060/coverage.w5	384	384	0.02	sum_sqrt	144	RNA:4sU:ESC 2 4sU	.
145	SRS3131061	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137731/SRS3131061/coverage.w5	384	384	0.02	sum_sqrt	145	RNA:4sU:ESC 3 4sU	.
146	SRS3131062	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137731/SRS3131062/coverage.w5	384	384	0.02	sum_sqrt	146	RNA:4sU:ESC 1 total	.
147	SRS3131063	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137731/SRS3131063/coverage.w5	384	384	0.02	sum_sqrt	147	RNA:4sU:ESC 2 total	.
148	SRS3131064	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP137731/SRS3131064/coverage.w5	384	384	0.02	sum_sqrt	148	RNA:4sU:ESC 3 total	.
149	SRS5136333	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136333/coverage.w5	384	384	0.02	sum_sqrt	149	RNA:ActD:3T3 actD_0hr_eluate	.
150	SRS5136334	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136334/coverage.w5	384	384	0.02	sum_sqrt	150	RNA:ActD:3T3 actD_0hr_input	.
151	SRS5136336	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136336/coverage.w5	384	384	0.02	sum_sqrt	151	RNA:ActD:3T3 actD_15hr_eluate	.
152	SRS5136338	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136338/coverage.w5	384	384	0.02	sum_sqrt	152	RNA:ActD:3T3 actD_15hr_input	.
153	SRS5136356	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136356/coverage.w5	384	384	0.02	sum_sqrt	153	RNA:ActD:3T3 actD_1hr_eluate	.
154	SRS5136358	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136358/coverage.w5	384	384	0.02	sum_sqrt	154	RNA:ActD:3T3 actD_1hr_input	.
155	SRS5136359	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136359/coverage.w5	384	384	0.02	sum_sqrt	155	RNA:ActD:3T3 actD_3hr_eluate	.
156	SRS5136362	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136362/coverage.w5	384	384	0.02	sum_sqrt	156	RNA:ActD:3T3 actD_3hr_input	.
157	SRS5136373	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136373/coverage.w5	384	384	0.02	sum_sqrt	157	RNA:ActD:3T3 actD_7hr_eluate	.
158	SRS5136376	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136376/coverage.w5	384	384	0.02	sum_sqrt	158	RNA:ActD:3T3 actD_7hr_input	.
159	SRS5136377	recount3	/scratch4/jlinder/tillage/datasets/mouse/rna/recount3/SRP215938/SRS5136377/coverage.w5	384	384	0.02	sum_sqrt	159	RNA:ActD:3T3 actD_Total_eluate	.
